Nthreads,board1,board1(par),board2,board2(par),board3,board3(par),board4,board4(par),board5,board5(par),board6,board6(par),board7,board7(par),board8,board8(par),easy,easy(par),medium,medium(par),hard,hard(par)
1,309853.2,3491481.7,20715,2680650.3,37112.1,2479581.2,31569.7,3883924.6,17094.5,1900181.4,92824.3,3161488.2,15447.8,1545540.4,73514.6,2924563.1,97742,3764021.2,68082.9,3000629.4,91904.7,2834161.7
2,281320.5,4265946,16729.7,5104954.5,37829.4,5108340.2,32608.6,6475047.5,16543.6,2591942.5,94951.1,4075540.3,16589.7,3006715.2,70366.1,5846595.5,98152,3558286,68530.6,6617114.1,108167.4,3677037.6
3,252520.5,6818800.8,17464.7,7378818.4,34871.8,5165036.4,32347.5,6749249.1,18522.3,2851743.1,95118.8,4077734.1,20408.8,3673577.2,75330.8,6319442.6,96359.2,6673065.7,66527.2,9107645.2,114372.2,7032173.6
4,260407,7304759.8,19654.4,9941670,32117.8,7898158.1,30926.1,1.08E+07,20663.8,4510033.2,92224.4,5476953.2,17979.3,5483257.3,64140.9,6347727.3,100095.7,6461017,74119.9,1.07E+07,108887.8,7109254.2
5,256084.6,7996855.7,19735.6,1.06E+07,31609.4,9605665.4,27929.3,1.09E+07,19909.7,5262001.9,89009,6798228.6,18779.5,7167098.2,64863.3,8448061.9,102675.9,8214012.9,75241.4,1.10E+07,104249.6,9578608.3
6,257738.2,8533942.6,17742.8,1.52E+07,33271.3,8566768,29716.1,1.30E+07,19539.4,5870672.5,95223.5,8040017.7,17706.6,5622632.1,60839.3,1.17E+07,99725,9738028.6,68049.9,1.13E+07,95951.8,9344285.7
7,271260.6,1.09E+07,18142,1.10E+07,31299.3,8184083.3,33195,1.24E+07,22745.3,6937305.9,102235.2,1.07E+07,18659.8,6554488.9,68213.3,1.06E+07,101515.7,8632637.3,65128.1,1.51E+07,99385.8,1.13E+07
8,237071.8,1.19E+07,20332.2,1.32E+07,34146.3,9486913.9,35899.2,1.53E+07,17270.1,7929117.2,90718.2,1.10E+07,19374.2,8244966.3,67077.3,1.06E+07,104135.6,1.18E+07,70464.1,1.67E+07,101501.7,1.31E+07
9,238311,1.27E+07,17192.6,1.43E+07,32853.5,1.25E+07,34788.2,1.69E+07,20150.3,8425848.1,95644.5,1.25E+07,17563.4,1.12E+07,63233.6,1.58E+07,106509,1.34E+07,80846.4,1.66E+07,111661,1.55E+07
10,247238.4,1.12E+07,20005.5,1.58E+07,32046.6,1.20E+07,29766.5,1.61E+07,18913.3,9032284.6,101996.7,1.27E+07,17811.3,9753449.7,65126.8,1.39E+07,101465.5,1.35E+07,72046.9,1.48E+07,104141.9,1.44E+07
11,301101.4,1.25E+07,16288.2,1.50E+07,31410.4,1.26E+07,27971.2,1.59E+07,20013.7,8931631.7,94084.8,1.19E+07,18442.3,9332168.7,63835.4,1.53E+07,111322.8,1.43E+07,69345.9,1.42E+07,109158.9,1.38E+07
